"INVALID TRADES"
"Time stamp","broker","sequence id","type","Symbol","Quantity","Price","Side"
"10/05/2017 10:00","Ameriprise Financial","1","K","LOUM","200","29.87","Buy"
"10/05/2017 10:00","Charles Schwab","2","2","DARK","100","20.0","Buy"
"10/05/2017 10:01","Fidelity","4","2","LOUM","400","29.875","Sell"
"10/05/2017 10:01","National Planning Corporation","4","K","BRGT","200","140.005","Buy"
"10/05/2017 10:02","TD Ameritrade","6","K","LOUM","200","29.87","Buy"
"10/05/2017 10:03","Ameriprise Financial","7","2","DARK","100","20.0","Buy"
"10/05/2017 10:04","Wells Fargo Advisors","9","2","LOUM","400","29.875","Sell"
"10/05/2017 10:05","Ameriprise Financial","9","2","BRIC","1400","30.7",""
"10/05/2017 10:06","Edward Jones","11","K","LOUM","200","29.87","Buy"
"10/05/2017 10:06","Edward Jones","12","2","DARK","100","20.0",""
"10/05/2017 10:07","National Planning Corporation","13","2","LOUM","400","29.875","Sell"
"10/05/2017 10:10","Ameriprise Financial","15","","HOOF","500","39.13","Sell"
"10/05/2017 10:10","National Planning Corporation","15","K","LOUM","200","29.87","Buy"
"10/05/2017 10:11","AXA Advisors","16","2","DARK","100","20.0","Buy"
"10/05/2017 10:12","Edward Jones","18","2","LOUM","400","29.875","Sell"
"10/05/2017 10:13","Wells Fargo Advisors","28","K","LEFT","200","140.005","Buy"
"10/05/2017 10:15","TD Ameritrade","20","K","LOUM","200","29.87","Buy"
"10/05/2017 10:17","Charles Schwab","21","2","DARK","100","20.0","Buy"
"10/05/2017 10:18","AXA Advisors","22","2","LOUM","400","29.875","Sell"
"10/05/2017 10:19","Wells Fargo Advisors","39","K","LOUM","200","29.87","Buy"
"10/05/2017 10:20","National Planning Corporation","25","2","DARK","100","20.0","Buy"
"10/05/2017 10:22","TD Ameritrade","27","2","LOUM","400","29.875","Sell"
"10/05/2017 10:27","Wells Fargo Advisors","52","K","LOUM","200","29.87","Buy"
"10/05/2017 10:30","Wells Fargo Advisors","61","2","DARK","100","20.0","Buy"
"10/05/2017 10:33","Ameriprise Financial","30","2","LOUM","400","29.875","Sell"
"10/05/2017 10:34","Edward Jones","32","K","LOUM","200","29.87","Buy"
"10/05/2017 10:34","Ameriprise Financial","33","2","DARK","100","20.0","Buy"
"10/05/2017 10:38","Wells Fargo Advisors","74","2","LOUM","400","29.875","Sell"
"10/05/2017 10:40","Wells Fargo Advisors","80","K","LOUM","200","29.87","Buy"
"10/05/2017 10:41","National Planning Corporation","37","2","DARK","100","20.0","Buy"
"10/05/2017 10:43","Raymond James Financial","39","2","LOUM","400","29.875","Sell"
"10/05/2017 10:45","Wells Fargo Advisors","85","K","LOUM","200","29.87","Buy"
"10/05/2017 10:46","LPL Financial","42","2","DARK","100","20.0","Buy"
"10/05/2017 10:49","Ameriprise Financial","44","2","LOUM","400","29.875","Sell"
"10/05/2017 10:51","AXA Advisors","46","K","LOUM","200","29.87","Buy"
"10/05/2017 10:52","AXA Advisors","47","2","DARK","100","20.0","Buy"
"10/05/2017 10:55","Edward Jones","49","2","LOUM","400","29.875","Sell"
